sessionId,page,timestamp,unique pageviews,step
00016def-c7b2-4171-bff2-8f9f29aadbe8,/www.insureandgo.com/quotes/tripDetails,1687685354638,1,Q1
00016def-c7b2-4171-bff2-8f9f29aadbe8,/www.insureandgo.com/quotes/panel,1687685458429,1,Q2
00057b73-c36f-48c2-ab35-24addf076901,/www.insureandgo.com/quotes/tripDetails,1687789520475,1,Q1
00083ddf-f65e-41ba-8cce-26ebc7fc51eb,/www.insureandgo.com/quotes/tripDetails,1687874450199,1,Q1
00083ddf-f65e-41ba-8cce-26ebc7fc51eb,/www.insureandgo.com/quotes/panel,1687874958700,1,Q2
00085c87-03d2-4f79-aa59-01bf6f30024d,/www.insureandgo.com/quotes/tripDetails,1687605464194,1,Q1
00098c68-3d2b-42d2-a49c-b3bd1d946482,/www.insureandgo.com/quotes/tripDetails,1687805324679,1,Q1
00098c68-3d2b-42d2-a49c-b3bd1d946482,/www.insureandgo.com/quotes/panel,1687805513529,1,Q2
000b8a21-2ad0-4edb-adcf-48b6bc37437c,/www.insureandgo.com/quotes/tripDetails,1687593150577,1,Q1
000b8a21-2ad0-4edb-adcf-48b6bc37437c,/www.insureandgo.com/quotes/panel,1687593257047,1,Q2
001420e9-5e82-4ea8-a7ca-aa304b2a27a1,/www.insureandgo.com/quotes/tripDetails,1687974983417,1,Q1
001420e9-5e82-4ea8-a7ca-aa304b2a27a1,/www.insureandgo.com/quotes/panel,1687975152985,1,Q2
001509e6-3784-47b7-ae2a-27d1cfe36e5a,/www.insureandgo.com/quotes/tripDetails,1688060461898,1,Q1
0015f2d2-03e3-4f59-883a-d6a7391ab232,/www.insureandgo.com/quotes/tripDetails,1687939421425,1,Q1
00183d2a-caf5-4497-bcf6-4e32b0998a8d,/www.insureandgo.com/quotes/tripDetails,1687948514840,1,Q1
0019f9d9-d8c4-499e-8b1e-6dce1383e438,/www.insureandgo.com/quotes/tripDetails,1687719438330,1,Q1
0019f9d9-d8c4-499e-8b1e-6dce1383e438,/www.insureandgo.com/quotes/panel,1687719576836,1,Q2
001a00da-12cf-4bcc-bfa8-0221492cde11,/www.insureandgo.com/quotes/tripDetails,1687781729240,1,Q1
001a4755-bef2-499d-a7af-4dc6fc32ca69,/www.insureandgo.com/quotes/tripDetails,1687960114577,1,Q1
001a4755-bef2-499d-a7af-4dc6fc32ca69,/www.insureandgo.com/quotes/panel,1687960181952,1,Q2
001e6e4a-bd7d-4926-82f1-dd1527715a8e,/www.insureandgo.com/quotes/tripDetails,1688071235567,1,Q1
001e6e4a-bd7d-4926-82f1-dd1527715a8e,/www.insureandgo.com/quotes/panel,1688072783987,1,Q2
001ee4fe-b71d-4a5a-bde2-207e157ed3b2,/www.insureandgo.com/quotes/tripDetails,1687628865719,1,Q1
00242ffc-657a-4bd5-abef-e20dfdf51b85,/www.insureandgo.com/quotes/tripDetails,1687587982092,1,Q1
00242ffc-657a-4bd5-abef-e20dfdf51b85,/www.insureandgo.com/quotes/panel,1687588074092,1,Q2
0027c5c2-ccc5-4fe8-b0a3-32d3894bdecd,/www.insureandgo.com/quotes/tripDetails,1687883921262,1,Q1
0028a1af-8edb-4ca9-bba8-82105b269a7d,/www.insureandgo.com/quotes/tripDetails,1687859965052,1,Q1
00296d14-1ab3-427d-aaf4-6acf76099060,/www.insureandgo.com/quotes/tripDetails,1687968923423,1,Q1
002be06f-383e-47d3-a910-15973b752553,/www.insureandgo.com/quotes/tripDetails,1687632626232,1,Q1
002be06f-383e-47d3-a910-15973b752553,/www.insureandgo.com/quotes/panel,1687632776689,1,Q2
002fc630-5e30-4e62-9a8b-4362011904cc,/www.insureandgo.com/quotes/tripDetails,1687596635470,1,Q1
0031ce8c-6ed3-4311-a177-3acfb43e8a99,/www.insureandgo.com/quotes/tripDetails,1687788813672,1,Q1
0031ce8c-6ed3-4311-a177-3acfb43e8a99,/www.insureandgo.com/quotes/panel,1687789081511,1,Q2
00328fb1-0e75-4bc0-a2f7-3705b57ee630,/www.insureandgo.com/quotes/tripDetails,1688036942544,1,Q1
00328fb1-0e75-4bc0-a2f7-3705b57ee630,/www.insureandgo.com/quotes/panel,1688037453416,1,Q2
0033747b-cc2b-4180-bd94-b358189e0f92,/www.insureandgo.com/quotes/tripDetails,1687987547489,1,Q1
0033747b-cc2b-4180-bd94-b358189e0f92,/www.insureandgo.com/quotes/panel,1687987725274,1,Q2
003c8b0b-3f73-4ec1-8631-271776f991a3,/www.insureandgo.com/quotes/panel,1687683395543,1,Q2
003d5286-8040-4d95-9152-34b7dce22ecd,/www.insureandgo.com/quotes/tripDetails,1688112602980,1,Q1
003d5286-8040-4d95-9152-34b7dce22ecd,/www.insureandgo.com/quotes/panel,1688112751243,1,Q2
003f9f00-a656-4ce8-b2e6-ce1532e3bdaf,/www.insureandgo.com/quotes/tripDetails,1687787527621,1,Q1
003f9f00-a656-4ce8-b2e6-ce1532e3bdaf,/www.insureandgo.com/quotes/panel,1687788459895,1,Q2
00469671-1c90-4883-8e4e-eb1341fd865f,/www.insureandgo.com/quotes/tripDetails,1688065925890,1,Q1
00469671-1c90-4883-8e4e-eb1341fd865f,/www.insureandgo.com/quotes/panel,1688066023620,1,Q2
0046c634-c288-4096-b914-0f6e82cb7380,/www.insureandgo.com/quotes/tripDetails,1687947226856,1,Q1
0047fb86-eb5d-459a-85cf-8d675f639c1b,/www.insureandgo.com/quotes/tripDetails,1688075255721,1,Q1
005665f2-9cf9-4b95-b098-37ec0092a1ae,/www.insureandgo.com/quotes/tripDetails,1687899169519,1,Q1
005665f2-9cf9-4b95-b098-37ec0092a1ae,/www.insureandgo.com/quotes/panel,1687899666159,1,Q2
00569ef2-e781-4e00-8f9c-26f57be8ca39,/www.insureandgo.com/quotes/tripDetails,1687767542462,1,Q1
0058b951-9ddf-479f-9208-8abf49041367,/www.insureandgo.com/quotes/tripDetails,1687720289047,1,Q1
005e233d-2073-4ac5-8ef3-3b4fa77df7f5,/www.insureandgo.com/quotes/tripDetails,1687787700141,1,Q1
005e3c8b-cd5d-464b-863f-fbcb9d5b25bb,/www.insureandgo.com/quotes/tripDetails,1687972261112,1,Q1
005e3c8b-cd5d-464b-863f-fbcb9d5b25bb,/www.insureandgo.com/quotes/panel,1687972422636,1,Q2
005f18dc-2f19-4515-bd6c-13208eed1d7d,/www.insureandgo.com/quotes/tripDetails,1687601248440,1,Q1
0060a92d-bc22-48fd-bcac-df7c4b0ae2f1,/www.insureandgo.com/quotes/tripDetails,1687775353328,1,Q1
